/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2
Training torch Neural Network on Products dataset


Epoch:   0 | Loss: 0.6713 | Valid loss: 0.6711 | F1 : 0.4389 | Valid F1: 0.4448


Epoch:   1 | Loss: 0.6483 | Valid loss: 0.6515 | F1 : 0.5484 | Valid F1: 0.5314


Epoch:   2 | Loss: 0.5762 | Valid loss: 0.5959 | F1 : 0.7167 | Valid F1: 0.6842


Epoch:   3 | Loss: 0.547 | Valid loss: 0.5937 | F1 : 0.7293 | Valid F1: 0.6872


Epoch:   4 | Loss: 0.5182 | Valid loss: 0.5851 | F1 : 0.7515 | Valid F1: 0.7


Epoch:   5 | Loss: 0.4959 | Valid loss: 0.5809 | F1 : 0.7658 | Valid F1: 0.7036


Epoch:   6 | Loss: 0.4797 | Valid loss: 0.5815 | F1 : 0.775 | Valid F1: 0.7068


Epoch:   7 | Loss: 0.4672 | Valid loss: 0.585 | F1 : 0.7818 | Valid F1: 0.7036


Epoch:   8 | Loss: 0.4568 | Valid loss: 0.5903 | F1 : 0.7873 | Valid F1: 0.7059


Epoch:   9 | Loss: 0.4474 | Valid loss: 0.5966 | F1 : 0.7922 | Valid F1: 0.7036
Evaluating Test Dataset
Test F1: 0.708 | Test Acc: 0.7072 
Training torch Neural Network on 4dim dataset


Epoch:   0 | Loss: 1.389 | Valid loss: 1.387 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   1 | Loss: 1.387 | Valid loss: 1.386 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   2 | Loss: 1.385 | Valid loss: 1.384 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   3 | Loss: 1.383 | Valid loss: 1.382 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   4 | Loss: 1.381 | Valid loss: 1.38 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   5 | Loss: 1.378 | Valid loss: 1.378 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   6 | Loss: 1.375 | Valid loss: 1.375 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   7 | Loss: 1.372 | Valid loss: 1.372 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   8 | Loss: 1.368 | Valid loss: 1.369 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   9 | Loss: 1.363 | Valid loss: 1.364 | F1 : 0.1098 | Valid F1: 0.1191


Epoch:  10 | Loss: 1.357 | Valid loss: 1.359 | F1 : 0.2168 | Valid F1: 0.1999


Epoch:  11 | Loss: 1.35 | Valid loss: 1.353 | F1 : 0.2367 | Valid F1: 0.2344


Epoch:  12 | Loss: 1.343 | Valid loss: 1.345 | F1 : 0.2432 | Valid F1: 0.2514


Epoch:  13 | Loss: 1.334 | Valid loss: 1.337 | F1 : 0.2425 | Valid F1: 0.2518


Epoch:  14 | Loss: 1.324 | Valid loss: 1.328 | F1 : 0.2435 | Valid F1: 0.2572


Epoch:  15 | Loss: 1.312 | Valid loss: 1.318 | F1 : 0.2433 | Valid F1: 0.2532


